地区名,最寄駅距離（分）,取引価格,間取り,面積（㎡）,建築年,築年数,構造,都市計画,建ぺい率（％）,容積率（％）,取引年,改装
原宿,45,8000000,２ＬＤＫ,45,昭和44年,50,ＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
深谷町,45,4800000,２ＬＤＫ,55,昭和47年,49,ＳＲＣ,第１種中高層住居専用地域,60,150,2021,未改装
深谷町,45,11000000,３ＤＫ,55,昭和47年,48,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
深谷町,45,10000000,３ＬＤＫ,65,昭和48年,47,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
深谷町,45,2500000,２ＬＤＫ,55,昭和47年,48,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
深谷町,45,18000000,３ＬＤＫ,80,昭和48年,47,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
深谷町,45,6700000,３ＬＤＫ,80,昭和48年,47,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
深谷町,75,4800000,２ＬＤＫ,55,昭和47年,47,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
深谷町,75,6000000,３ＬＤＫ,65,昭和48年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
深谷町,45,8600000,３ＬＤＫ,65,昭和48年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
深谷町,45,15000000,３ＬＤＫ,65,昭和48年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
深谷町,45,5300000,３ＤＫ,65,昭和48年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
深谷町,45,13000000,２ＬＤＫ,55,昭和47年,47,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
舞岡町,21,30000000,３ＬＤＫ,70,平成20年,12,ＲＣ,第１種住居地域,60,200,2020,未改装
舞岡町,15,20000000,３ＬＤＫ,90,平成5年,27,ＳＲＣ,準住居地域,60,200,2020,改装済
舞岡町,20,26000000,３ＬＤＫ,75,平成20年,12,ＲＣ,第１種住居地域,60,200,2020,改装済
舞岡町,45,2500000,１Ｋ,15,昭和63年,32,ＲＣ,第１種住居地域,60,200,2020,未改装
舞岡町,21,35000000,３ＬＤＫ,85,平成20年,12,ＲＣ,第１種住居地域,60,200,2020,未改装
舞岡町,21,26000000,３ＬＤＫ,85,平成20年,11,ＲＣ,第１種住居地域,60,200,2019,未改装
舞岡町,24,34000000,３ＬＤＫ,65,平成29年,2,ＲＣ,第１種住居地域,60,200,2019,未改装
舞岡町,45,19000000,３ＬＤＫ,85,昭和57年,37,ＲＣ,第１種低層住居専用地域,40,80,2019,改装済
舞岡町,21,33000000,３ＬＤＫ,70,平成20年,11,ＲＣ,第１種住居地域,60,200,2019,未改装
俣野町,75,6500000,４ＬＤＫ,60,昭和49年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
俣野町,75,9500000,３ＬＤＫ,60,昭和48年,47,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
俣野町,75,16000000,３ＬＤＫ,60,昭和49年,45,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
俣野町,75,6500000,４ＬＤＫ,70,昭和61年,33,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
俣野町,75,18000000,３ＬＤＫ,70,昭和49年,45,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
俣野町,45,12000000,４ＬＤＫ,70,昭和48年,46,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
俣野町,75,6700000,３ＬＤＫ,60,昭和49年,45,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
矢部町,14,41000000,３ＬＤＫ,75,平成26年,7,ＲＣ,第１種低層住居専用地域,50,100,2021,未改装
矢部町,15,28000000,３ＬＤＫ,75,平成7年,25,ＲＣ,第１種低層住居専用地域,50,100,2020,改装済
矢部町,7,16000000,３ＬＤＫ,55,平成9年,23,ＲＣ,第２種中高層住居専用地域,60,150,2020,未改装
矢部町,11,29000000,３ＬＤＫ,70,昭和61年,34,ＲＣ,準住居地域,60,200,2020,改装済
矢部町,15,30000000,４ＬＤＫ,90,昭和64年,31,ＲＣ,準住居地域,60,200,2020,改装済
矢部町,10,16000000,１ＬＤＫ,35,昭和63年,32,ＲＣ,第２種中高層住居専用地域,60,150,2020,改装済
矢部町,4,25000000,３ＬＤＫ,75,平成10年,22,ＲＣ,近隣商業地域,80,400,2020,改装済
矢部町,14,36000000,３ＬＤＫ,65,平成27年,5,ＲＣ,準住居地域,60,200,2020,未改装
矢部町,19,26000000,４ＬＤＫ,85,平成15年,16,ＲＣ,第１種住居地域,60,200,2019,未改装
矢部町,14,35000000,３ＬＤＫ,65,平成26年,5,ＲＣ,第１種住居地域,60,200,2019,未改装
矢部町,11,43000000,３ＬＤＫ,70,平成9年,22,ＲＣ,第２種中高層住居専用地域,60,150,2019,改装済
矢部町,14,39000000,３ＬＤＫ,70,平成26年,5,ＲＣ,第１種低層住居専用地域,50,100,2019,未改装
矢部町,11,30000000,３ＬＤＫ,70,平成9年,22,ＲＣ,第２種中高層住居専用地域,60,150,2019,未改装
矢部町,13,9500000,３ＬＤＫ,60,昭和62年,32,ＲＣ,準住居地域,60,200,2019,未改装
矢部町,14,26000000,３ＬＤＫ,55,平成6年,25,ＲＣ,準住居地域,60,200,2019,改装済
矢部町,11,25000000,３ＬＤＫ,65,平成12年,19,ＲＣ,準住居地域,60,200,2019,未改装
吉田町,11,42000000,３ＬＤＫ,80,平成18年,15,ＲＣ,第１種中高層住居専用地域,60,150,2021,未改装
吉田町,14,28000000,３ＬＤＫ,60,平成7年,26,ＲＣ,第２種住居地域,60,200,2021,未改装
吉田町,13,38000000,３ＬＤＫ,75,平成17年,15,ＲＣ,工業地域,60,200,2020,未改装
吉田町,11,45000000,３ＬＤＫ,80,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,改装済
吉田町,11,33000000,３ＬＤＫ,70,平成11年,21,ＲＣ,第２種住居地域,60,200,2020,改装済
吉田町,15,34000000,２ＬＤＫ,70,平成14年,18,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
吉田町,11,49000000,３ＬＤＫ,85,平成17年,15,ＲＣ,工業地域,60,200,2020,改装済
吉田町,5,51000000,３ＬＤＫ,65,平成26年,6,ＲＣ,工業地域,60,200,2020,未改装
吉田町,5,61000000,３ＬＤＫ,70,平成26年,6,ＲＣ,工業地域,60,200,2020,未改装
吉田町,7,37000000,３ＬＤＫ,60,平成24年,8,ＲＣ,第２種住居地域,60,200,2020,改装済
吉田町,13,38000000,３ＬＤＫ,85,平成17年,15,ＲＣ,工業地域,60,200,2020,未改装
吉田町,1,30000000,１ＤＫ,25,平成29年,2,ＲＣ,商業地域,80,600,2019,未改装
吉田町,14,36000000,３ＬＤＫ,80,平成14年,17,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
吉田町,16,24000000,２ＬＤＫ,70,平成13年,18,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
吉田町,15,44000000,３ＬＤＫ,85,平成17年,14,ＲＣ,工業地域,60,200,2019,未改装
吉田町,19,36000000,４ＬＤＫ,90,平成9年,22,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
